Rk,Player,Salary,Conference,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
26,LaMelo Ball,7839960,E,PG,19,CHO,41,21,28.6,5.8,12.8,0.451,2,5.3,0.375,3.8,7.6,0.503,0.528,2.4,3,0.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9
27,Lonzo Ball,11003782,W,PG,23,NOP,41,41,31.7,5.2,12.3,0.424,3.1,8.1,0.384,2.1,4.2,0.5,0.55,0.9,1.2,0.792,0.6,3.6,4.2,5.7,1.4,0.6,2,2,14.5
28,Mo Bamba,5969040,E,C,22,ORL,30,0,12.3,2.5,5.3,0.475,0.7,1.9,0.345,1.9,3.4,0.549,0.538,0.7,1.1,0.625,1.3,3,4.3,0.5,0.2,1,0.6,1.7,6.4
29,Desmond Bane,1936440,W,SG,22,MEM,46,11,22.5,3.6,7.6,0.477,1.8,3.9,0.453,1.8,3.7,0.503,0.593,0.6,0.8,0.806,0.4,2.8,3.2,1.5,0.7,0.2,1,1.9,9.6
30,Harrison Barnes,22215909,W,PF,28,SAC,50,50,36.1,5.3,10.8,0.491,1.5,4.1,0.356,3.9,6.7,0.573,0.558,3.4,4.2,0.823,1.2,5.5,6.7,3.6,0.8,0.2,1.5,1.3,15.5
31,RJ Barrett,8231760,E,SG,20,NYK,53,53,34,6.6,14.6,0.452,1.4,3.6,0.382,5.2,11,0.474,0.499,3,4.1,0.736,1.1,4.8,5.9,3,0.7,0.2,2,2.6,17.6
32,Will Barton,13920000,W,SF,30,DEN,49,45,31.3,4.8,11,0.433,1.8,4.6,0.379,3,6.4,0.471,0.512,1.5,2,0.773,0.7,3.5,4.2,3.2,0.9,0.4,1.7,1.7,12.8
34,Nicolas Batum,11608231,W,SF,32,LAC,51,38,28.4,2.9,6.4,0.458,1.7,4.2,0.414,1.2,2.2,0.545,0.595,0.8,1,0.843,0.8,4.1,4.9,2.4,1.1,0.4,0.8,1.6,8.4
35,Aron Baynes,6975610,E,C,34,TOR,50,31,18.2,2.4,5.6,0.431,0.4,1.9,0.237,2,3.8,0.527,0.47,0.5,0.7,0.73,1.7,3.4,5.1,0.9,0.3,0.4,0.9,2.3,5.8
36,Kent Bazemore,2320044,W,SF,31,GSW,51,2,17.1,2.2,5,0.443,0.9,2.3,0.395,1.3,2.7,0.485,0.535,0.7,1,0.712,0.4,2.5,3,1.6,0.9,0.5,1.1,2.2,6.1
