Rk,Player,Salary,Conference,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
119,DeMar DeRozan,27739975,W,PF,31,SAS,43,43,34,7.2,14.6,0.493,0.4,1.4,0.29,6.8,13.1,0.515,0.507,6.1,7,0.88,0.7,3.7,4.3,7.1,1,0.3,1.9,2,20.9
121,Hamidou Diallo,1663861,E,SF,22,DET,8,0,21.4,4.4,8,0.547,0.9,1.8,0.5,3.5,6.3,0.56,0.602,2.3,2.8,0.818,1.1,3.6,4.8,1.5,0.6,0.6,1.4,2.1,11.9
121,Hamidou Diallo,1663861,W,SG,22,OKC,32,5,23.8,4.5,9.3,0.481,0.4,1.3,0.293,4.1,8,0.512,0.502,2.6,4.1,0.629,1.2,4,5.2,2.4,1,0.4,1.5,2.6,11.9
122,Gorgui Dieng,17587688,W,C,31,MEM,22,1,16.9,2.5,4.9,0.519,1,2.2,0.479,1.5,2.7,0.55,0.625,1.7,2,0.884,1.3,3.2,4.5,1.3,0.8,0.6,1,1.7,7.9
122,Gorgui Dieng,17587688,W,C,31,SAS,3,0,8,0.7,2.3,0.286,0.3,1.3,0.25,0.3,1,0.333,0.357,1.3,2,0.667,0,0.7,0.7,0,0.7,0,0.7,1.7,3
123,Spencer Dinwiddie,11454048,E,SG,27,BRK,3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7
124,Donte DiVincenzo,3044160,E,SG,24,MIL,50,50,27.6,3.9,9.4,0.419,2,5.2,0.391,1.9,4.2,0.455,0.528,0.8,1.1,0.722,1.3,4.3,5.6,3.1,1.2,0.2,1.4,1.6,10.7
125,Luka Don?i?,8049360,W,PG,21,DAL,46,46,35.1,10.2,21,0.483,3,8.2,0.37,7.2,12.9,0.556,0.555,5.1,7,0.73,0.8,7.4,8.2,8.7,1,0.6,4.3,2.2,28.5
126,Luguentz Dort,1517981,W,SG,21,OKC,42,42,29.3,4.4,11.2,0.389,2,5.9,0.329,2.4,5.3,0.455,0.476,2,2.6,0.752,0.6,2.8,3.5,1.5,0.9,0.4,1.5,2.5,12.6
127,Damyean Dotson,2000000,E,SG,26,CLE,35,6,18.8,2.5,6.3,0.394,0.9,3.3,0.278,1.6,3,0.519,0.466,0.6,0.9,0.688,0.1,1.9,2,2.1,0.4,0.1,0.8,0.9,6.5
129,Sekou Doumbouya,3449400,E,PF,20,DET,44,2,13,1.5,4.2,0.351,0.5,1.8,0.247,1,2.4,0.433,0.405,0.6,0.8,0.778,0.5,1.6,2.2,0.6,0.4,0.1,0.7,1.5,4
131,Goran Dragi?,18000000,E,PG,34,MIA,33,10,26.7,4.8,10.8,0.439,1.6,4.6,0.346,3.2,6.2,0.507,0.513,2.1,2.5,0.831,0.3,3,3.3,4.5,0.6,0.2,2.7,2.2,13.2
132,Andre Drummond,29546311,E,C,27,CLE,25,25,28.9,7.2,15.2,0.474,0,0.3,0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
132,Andre Drummond,29546311,W,C,27,LAL,3,3,21.3,5,10,0.5,0,0,,5,10,0.5,0.5,3,4.7,0.643,2.7,5.3,8,1.7,1,0.7,3,4,13
133,Jared Dudley,2564753,W,PF,35,LAL,11,0,6.9,0.2,0.6,0.286,0.2,0.5,0.4,0,0.2,0,0.429,0,0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
134,Kevin Durant,39058950,E,PF,32,BRK,21,19,34.4,9.6,18.1,0.528,2.5,5.7,0.437,7.1,12.5,0.569,0.596,6.5,7.4,0.877,0.4,6.9,7.3,5.2,0.7,1.4,3.9,2.1,28.1
135,Anthony Edwards,9757440,W,SG,19,MIN,53,36,31.2,6.6,16.5,0.4,2.1,6.8,0.315,4.5,9.7,0.459,0.464,2.6,3.3,0.79,0.9,3.5,4.4,2.6,1.1,0.4,2.2,1.7,17.9
136,Carsen Edwards,1517981,E,SG,22,BOS,21,1,9.2,1.8,3.9,0.463,0.6,2,0.302,1.2,1.9,0.641,0.543,0.3,0.4,0.778,0.1,0.8,0.9,0.5,0.2,0,0.1,1,4.6
137,CJ Elleby,898310,W,SF,20,POR,20,0,7.4,0.9,2.4,0.362,0.3,1.3,0.192,0.6,1.1,0.571,0.415,0.4,0.6,0.636,0.4,0.7,1.1,0.2,0.3,0.2,0.2,1,2.3
138,Henry Ellenson,50000,E,PF,24,TOR,2,0,19,2.5,7,0.357,1,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2,0.75,1.5,4.5,6,2.5,0,0,0,3.5,7.5
139,Wayne Ellington,3005225,E,SG,33,DET,38,28,22.1,3.3,7.5,0.441,2.5,6,0.415,0.8,1.5,0.544,0.607,0.7,0.9,0.788,0.2,1.6,1.8,1.4,0.4,0.2,0.7,1.4,9.8
140,Joel Embiid,29542010,E,C,26,PHI,35,35,32.3,9.2,17.8,0.518,1.1,3,0.375,8.1,14.9,0.546,0.549,9.8,11.5,0.849,2.1,8.9,11.1,3.1,1.1,1.5,3.2,2.5,29.4
141,James Ennis,3300000,E,SF,30,ORL,35,31,23.9,2.8,5.8,0.49,1.1,2.4,0.435,1.8,3.3,0.53,0.582,1.6,2,0.814,1.1,2.9,4,1.6,0.9,0.2,0.9,2.1,8.3
142,Drew Eubanks,1620564,W,C,23,SAS,32,0,12.8,1.7,3.3,0.514,0,0,1,1.7,3.3,0.509,0.519,1.1,1.6,0.706,0.8,2.8,3.5,0.8,0.2,1,0.8,1.3,4.6
143,Dante Exum,9600000,E,SG,25,CLE,6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
145,Derrick Favors,9258000,W,C,29,UTA,51,0,15.6,2.4,3.8,0.629,0,0,0,2.4,3.8,0.632,0.629,1,1.4,0.732,2.1,3.4,5.6,0.8,0.5,1,0.6,2.3,5.8
147,Terrance Ferguson,3944013,E,SG,22,PHI,13,0,3.8,0.1,0.5,0.143,0,0.4,0,0.1,0.2,0.5,0.143,0,0,,0,0.1,0.1,0.2,0.1,0,0.3,0.5,0.2
148,Bruno Fernando,1517981,E,C,22,ATL,26,0,6.8,0.5,1.1,0.429,0,0.1,0,0.5,1,0.462,0.429,0.5,0.7,0.667,0.5,2,2.5,0.3,0.1,0.1,0.7,0.8,1.4
150,Dorian Finney-Smith,4000000,W,PF,27,DAL,40,40,32,3.3,7.5,0.433,1.8,4.9,0.367,1.5,2.6,0.558,0.553,0.6,0.8,0.8,1.7,3.8,5.5,1.6,0.9,0.5,0.6,2.5,8.9
152,Malachi Flynn,1950600,E,PG,22,TOR,28,2,14.6,1.7,4.8,0.358,0.6,2.2,0.274,1.1,2.6,0.431,0.422,0.4,0.5,0.733,0.1,1.5,1.6,2.2,0.7,0.1,0.7,1.1,4.4
153,Bryn Forbes,2337145,E,SG,27,MIL,51,7,19,3.3,7.4,0.452,2.1,4.7,0.45,1.2,2.6,0.455,0.597,0.6,0.7,0.763,0.2,1.2,1.3,0.6,0.3,0,0.6,1.1,9.4
155,Evan Fournier,17000000,E,SG,28,BOS,4,0,28.8,4,9.5,0.421,2.8,5.8,0.478,1.3,3.8,0.333,0.566,0.8,1,0.75,0,1.8,1.8,1.8,1.3,0.8,1,2.5,11.5
155,Evan Fournier,17000000,E,SF,28,ORL,26,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.7,7,0.536,0.56,3.8,4.7,0.797,0.2,2.7,2.9,3.7,1,0.3,2.1,2.1,19.7
156,De'Aaron Fox,8099627,W,PG,23,SAC,52,52,34.9,8.9,18.7,0.478,1.8,5.5,0.326,7.1,13.2,0.542,0.526,5,7,0.712,0.5,2.8,3.4,7.2,1.4,0.5,3,3,24.7
158,Markelle Fultz,12288697,E,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9
159,Wenyen Gabriel,1620564,W,PF,23,NOP,9,0,4.7,0.2,1.2,0.182,0.1,0.6,0.2,0.1,0.7,0.167,0.227,0.2,0.4,0.5,0.8,0.8,1.6,0.6,0.1,0,0.8,0.2,0.8
160,Daniel Gafford,1517981,E,PF,22,CHI,31,11,12.4,1.9,2.8,0.69,0,0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7
160,Daniel Gafford,1517981,E,C,22,WAS,3,0,15,4.7,6.3,0.737,0,0,,4.7,6.3,0.737,0.737,1.7,2.3,0.714,2.3,3,5.3,0.7,0.7,2,1,0.7,11
161,Danilo Gallinari,19500000,E,PF,32,ATL,39,4,24,4,9.5,0.425,2.1,5.2,0.407,1.9,4.2,0.448,0.538,3.2,3.4,0.933,0.3,3.8,4.1,1.4,0.6,0.2,1,2.1,13.4
162,Langston Galloway,2028594,W,SG,29,PHO,34,0,11.1,1.7,3.6,0.471,0.9,2.1,0.451,0.7,1.5,0.5,0.603,0.5,0.5,1,0.1,0.9,1,0.7,0.2,0,0.3,0.7,4.8
163,Darius Garland,6720720,E,PG,21,CLE,43,40,33.3,6.5,14.5,0.448,1.9,4.6,0.402,4.7,9.9,0.469,0.512,2,2.3,0.851,0.5,1.9,2.4,5.9,1.2,0.1,3,2.2,16.9
164,Marc Gasol,2564753,W,C,36,LAL,42,41,19.8,1.7,4,0.426,0.9,2.5,0.365,0.8,1.5,0.523,0.538,0.8,1,0.75,0.7,3.4,4.1,2.1,0.5,1.3,1.2,2.3,5.1
165,Rudy Gay,14000000,W,PF,34,SAS,43,0,21.8,4.1,10,0.411,1.7,4.3,0.392,2.4,5.6,0.426,0.496,1.3,1.7,0.789,0.8,4.2,5,1.5,0.7,0.6,1,1.9,11.2
166,Paul George,35450412,W,SF,30,LAC,40,40,33.4,8,16.8,0.477,3.3,7.5,0.441,4.7,9.4,0.505,0.575,3.4,3.9,0.89,0.9,5.4,6.3,5.3,1.2,0.5,3.1,2.4,22.8
167,Taj Gibson,3283684,E,PF,35,NYK,26,1,20.4,1.9,3.2,0.583,0.1,0.5,0.214,1.8,2.7,0.657,0.601,1,1.5,0.667,1.9,3.2,5.1,0.7,0.8,0.9,0.7,2.2,4.9
168,Harry Giles,1678854,W,C,22,POR,29,0,10.5,1.1,2.6,0.419,0.2,0.5,0.429,0.9,2.1,0.417,0.459,0.5,0.8,0.682,1,3.1,4.1,0.8,0.2,0.3,0.6,1.7,2.9
169,Shai Gilgeous-Alexander,4141320,W,SG,22,OKC,35,35,33.7,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,2,23.7
170,Anthony Gill,898310,E,PF,28,WAS,17,1,5.4,0.4,1.2,0.35,0.1,0.7,0.167,0.3,0.5,0.625,0.4,0.2,0.3,0.8,0.5,1.1,1.6,0.2,0.2,0.1,0.2,0.6,1.2
172,Rudy Gobert,26525281,W,C,28,UTA,53,53,30.9,5.5,8.2,0.664,0,0.1,0,5.5,8.2,0.668,0.664,3.6,5.7,0.622,3.4,10,13.4,1.3,0.5,2.8,1.6,2.3,14.5
173,Brandon Goodwin,1701593,E,PG,25,ATL,34,1,10.8,1.4,4.1,0.353,0.6,1.9,0.318,0.8,2.1,0.384,0.428,0.5,0.7,0.708,0.2,0.9,1.1,1.6,0.4,0,0.6,0.8,4
174,Aaron Gordon,18136364,W,PF,25,DEN,7,7,28.1,5.1,8.9,0.581,0.7,2.6,0.278,4.4,6.3,0.705,0.621,1.3,2,0.643,0.7,3,3.7,2.6,1,0.9,1.1,1.6,12.3
174,Aaron Gordon,18136364,E,PF,25,ORL,25,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,3.4,7.2,0.475,0.509,2.6,4.2,0.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2,14.6
175,Eric Gordon,16869276,W,SG,32,HOU,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8
176,Devonte' Graham,1663861,E,PG,25,CHO,41,35,29.6,4.4,11.6,0.377,3,8,0.378,1.4,3.6,0.376,0.507,2.2,2.6,0.833,0.4,2.3,2.8,5.1,1,0.1,1.5,1.3,14
177,Jerami Grant,19047619,E,SF,26,DET,48,48,34.4,7.4,17.3,0.429,2.3,6.3,0.359,5.2,11.1,0.469,0.494,5.4,6.3,0.854,0.7,4.1,4.8,2.9,0.7,1.1,2,2.3,22.5
178,Danny Green,15365854,E,SF,33,PHI,52,52,28.3,3.4,8,0.422,2.6,6.3,0.415,0.8,1.7,0.448,0.586,0.4,0.6,0.724,0.8,2.9,3.7,1.7,1.3,0.9,1.1,1.8,9.8
179,Draymond Green,22246956,W,PF,30,GSW,45,45,30.4,2.4,5.9,0.404,0.5,2,0.256,1.9,3.9,0.48,0.447,1,1.4,0.77,1,5.5,6.4,8.4,1.6,0.8,2.9,3.1,6.3
180,JaMychal Green,7199760,W,PF,30,DEN,39,4,18.6,3.1,6.6,0.463,1.4,3.5,0.404,1.6,3.1,0.529,0.57,0.9,1.1,0.829,1.5,3.7,5.2,0.8,0.5,0.4,0.9,2.5,8.4
181,Javonte Green,1517981,E,SG,27,BOS,25,2,13.8,1.6,2.8,0.549,0.3,0.9,0.318,1.3,2,0.653,0.599,0.8,1.2,0.667,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,4.2
181,Javonte Green,1517981,E,PG,27,CHI,3,0,8,0.3,2,0.167,0,0.3,0,0.3,1.7,0.2,0.167,0,0,,0.7,1.3,2,0.3,0.7,0.7,1,1,0.7
182,Jeff Green,2564753,E,C,34,BRK,49,26,26.8,3.6,7.3,0.494,1.4,3.5,0.418,2.1,3.8,0.565,0.594,1.6,2.1,0.743,0.5,3.3,3.8,1.4,0.6,0.3,0.8,1.7,10.2
183,Josh Green,2816760,W,SG,20,DAL,27,5,10.4,0.9,2.1,0.431,0.1,0.6,0.118,0.9,1.5,0.561,0.448,0.3,0.6,0.6,0.6,1.3,1.9,0.5,0.3,0.1,0.5,0.7,2.3
184,Blake Griffin,33685241,E,PF,31,BRK,8,1,18.4,2.9,5.1,0.561,1,2.1,0.471,1.9,3,0.625,0.659,1.4,1.9,0.733,0.5,3.5,4,2.1,0.6,0.5,1.1,2.3,8.1
184,Blake Griffin,33685241,E,PF,31,DET,20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
186,Rui Hachimura,4692840,E,PF,22,WAS,43,43,31.7,5.4,11.3,0.476,0.8,2.5,0.33,4.6,8.8,0.519,0.513,2.5,3.2,0.774,0.9,5,5.9,1.6,0.8,0.1,1.3,2.1,14.1
188,Tyrese Haliburton,3831840,W,PG,20,SAC,47,14,30.3,5,10.6,0.478,2.1,5.1,0.414,2.9,5.5,0.537,0.578,0.8,0.9,0.86,0.8,2.4,3.2,5.1,1.2,0.6,1.5,1.4,13
190,R.J. Hampton,2193480,W,PG,19,DEN,25,0,9.3,1,2.4,0.417,0.2,0.7,0.278,0.8,1.7,0.476,0.458,0.4,0.5,0.75,0.4,1.6,2,0.6,0.2,0.1,0.4,0.9,2.6
190,R.J. Hampton,2193480,E,SG,19,ORL,7,1,22.6,4.1,8.6,0.483,0.9,2.4,0.353,3.3,6.1,0.535,0.533,1,2,0.5,0.6,3.7,4.3,1.3,0.9,0.3,1.3,1.3,10.1
191,Tim Hardaway Jr.,18975000,W,SG,28,DAL,50,20,28.9,5.8,13,0.446,3,7.5,0.394,2.9,5.5,0.518,0.56,1.9,2.4,0.797,0.3,3.2,3.5,1.7,0.5,0.1,0.9,1.5,16.5
192,James Harden,40824000,E,PG,31,BRK,34,34,37.3,8.1,17.3,0.467,2.7,7.5,0.361,5.4,9.8,0.548,0.545,6.5,7.5,0.867,0.9,7.8,8.7,11,1.3,0.7,4.1,2.4,25.4
192,James Harden,40824000,W,SG,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9,0.347,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
193,Maurice Harkless,3623000,E,SF,27,MIA,11,3,11.3,0.5,1.2,0.385,0.5,1,0.455,0,0.2,0,0.577,0,0.2,0,0.2,1,1.2,0.6,0.2,0.4,0.3,1.3,1.4
193,Maurice Harkless,3623000,W,PF,27,SAC,8,2,18.4,1.8,4.1,0.424,0.8,2.6,0.286,1,1.5,0.667,0.515,0.5,0.5,1,0.1,2.1,2.3,0.8,0.6,0.4,0.6,2.4,4.8
195,Montrezl Harrell,9258000,W,C,27,LAL,53,1,24.6,5.9,9.5,0.625,0,0.2,0,5.9,9.3,0.638,0.625,2.8,4,0.705,2.5,4.2,6.8,1.1,0.7,0.8,1.2,2,14.6
196,Gary Harris,19160714,W,SG,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
196,Gary Harris,19160714,E,G,26,ORL,1,0,18,2,10,0.2,0,2,0,2,8,0.25,0.2,4,4,1,1,2,3,1,0,0,2,1,8
198,Joe Harris,16071429,E,SF,29,BRK,53,49,30.8,5.2,10.1,0.508,3.1,6.5,0.478,2,3.6,0.563,0.663,0.6,0.9,0.739,0.6,3.1,3.7,1.8,0.6,0.2,0.8,2.1,14.1
199,Tobias Harris,33517241,E,PF,28,PHI,47,47,33.4,8,15.3,0.52,1.4,3.6,0.401,6.5,11.7,0.556,0.567,3.2,3.6,0.889,1,6.3,7.3,3.6,0.9,0.8,1.9,2.1,20.6
200,Shaquille Harrison,770433,W,SG,27,UTA,17,0,3.3,0.4,1.2,0.3,0,0.1,0,0.4,1.1,0.333,0.3,0.3,0.4,0.833,0.2,0.4,0.5,0.5,0.1,0,0.3,0.2,1
201,Josh Hart,3491159,W,SF,25,NOP,47,4,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8,2.3,0.8,0.3,1,2.4,9.2
202,Isaiah Hartenstein,1445697,E,C,22,CLE,6,1,23.8,3.8,6.3,0.605,0.3,0.8,0.4,3.5,5.5,0.636,0.632,2.3,3.8,0.609,1.8,7.5,9.3,3.8,0.5,1.7,0.8,3.2,10.3
202,Isaiah Hartenstein,1445697,W,C,22,DEN,30,0,9.1,1.4,2.7,0.513,0,0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2,3.5
203,Jaxson Hayes,5105160,W,C,20,NOP,40,3,14.7,2.5,3.7,0.669,0.1,0.1,0.5,2.4,3.6,0.674,0.676,1.3,1.6,0.781,1.3,2.5,3.8,0.6,0.3,0.5,0.7,1.8,6.3
204,Killian Hayes,5307120,E,PG,19,DET,11,7,20.9,2,6.3,0.319,0.6,2.5,0.259,1.4,3.8,0.357,0.37,0.3,0.4,0.75,0.2,1.8,2,3.5,0.6,0.4,2.5,1.8,4.9
205,Gordon Hayward,28500000,E,SF,30,CHO,44,44,34,7.1,15,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,1.7,19.6
206,Juan Hernangómez,6493000,W,PF,25,MIN,34,6,16.6,2.3,5.3,0.431,0.9,2.8,0.326,1.4,2.5,0.547,0.517,1.2,1.8,0.667,1,3.3,4.2,0.6,0.4,0.1,0.4,0.9,6.7
208,Tyler Herro,3822240,E,SG,21,MIA,41,14,31.7,5.8,13.5,0.429,2,5.7,0.34,3.8,7.7,0.495,0.502,2.1,2.5,0.817,0.5,4.5,5,3.4,0.7,0.4,2,1.4,15.6
209,Buddy Hield,24431818,W,SG,28,SAC,53,53,34.5,5.7,14.3,0.396,4,10.5,0.382,1.6,3.8,0.437,0.537,1.2,1.4,0.842,0.4,4.2,4.5,3.2,0.8,0.3,1.7,2.6,16.5
210,George Hill,9590602,W,PG,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
211,Solomon Hill,2174318,E,PF,29,ATL,52,7,19.7,1.5,4.1,0.368,1,3,0.323,0.5,1,0.5,0.488,0.4,0.5,0.75,0.6,2,2.6,0.9,0.7,0.2,0.6,1.5,4.4
214,Aaron Holiday,2345640,E,PG,24,IND,49,6,17.7,2.7,6.9,0.399,1.1,3,0.377,1.6,3.9,0.416,0.481,0.9,1.1,0.768,0.2,1.1,1.2,1.8,0.7,0.2,0.9,1.6,7.5
215,Jrue Holiday,26131111,E,PG,30,MIL,40,37,31.8,6.9,13.5,0.508,1.9,4.8,0.394,5,8.7,0.572,0.579,1.6,2,0.823,1.3,3.3,4.6,5.4,1.8,0.5,2.2,1.8,17.2
216,Justin Holiday,5720400,E,SG,31,IND,51,42,31.4,3.8,9,0.421,2.5,6.5,0.387,1.3,2.5,0.512,0.561,1,1.3,0.8,0.5,3.2,3.7,1.6,1.2,0.4,0.8,2,11.1
218,Richaun Holmes,5005350,W,C,27,SAC,49,49,30.2,6.1,9.4,0.644,0,0.2,0.2,6,9.2,0.654,0.646,2.2,2.8,0.797,2.6,6.4,9,1.7,0.7,1.7,1.2,3.7,14.4
219,Rodney Hood,10047450,W,SF,28,POR,38,5,19.1,1.9,5.3,0.363,0.7,2.2,0.298,1.3,3.1,0.41,0.425,0.2,0.3,0.75,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7
219,Rodney Hood,10047450,E,SF,28,TOR,5,0,17.8,1.8,4.2,0.429,1,2.8,0.357,0.8,1.4,0.571,0.548,1,1,1,0.2,1.4,1.6,0.4,0.2,0.4,0.6,1.4,5.6
220,Al Horford,27500000,W,C,34,OKC,28,28,27.9,5.8,12.9,0.45,2,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1,5.7,6.7,3.4,0.9,0.9,1,1.7,14.2
221,Talen Horton-Tucker,1517981,W,SG,20,LAL,48,2,19.3,3.3,7.5,0.441,0.5,2,0.274,2.8,5.5,0.502,0.478,1.4,1.7,0.825,0.4,2.3,2.7,2.5,0.9,0.4,1.5,2.1,8.5
222,Danuel House,3717000,W,SF,27,HOU,31,21,27.2,3.2,7.9,0.406,1.6,4.5,0.36,1.6,3.4,0.467,0.508,1.3,1.9,0.661,0.6,3.3,3.9,1.9,0.6,0.5,1,2,9.3
223,Dwight Howard,2564753,E,C,35,PHI,53,5,17.3,2.5,4.3,0.581,0.1,0.3,0.267,2.4,4,0.604,0.59,1.8,3.1,0.583,2.6,5.7,8.3,0.7,0.4,0.9,1.7,3,6.8
225,Kevin Huerter,2761920,E,SG,22,ATL,53,38,30.8,4.4,10.5,0.424,2,5.6,0.364,2.4,4.8,0.494,0.522,0.8,1,0.824,0.6,2.7,3.3,3.5,1.2,0.2,1.2,2.4,11.7
226,Elijah Hughes,898310,W,SF,22,UTA,11,0,3.5,0.7,1.7,0.421,0.5,1.3,0.429,0.2,0.5,0.4,0.579,0.3,0.4,0.75,0,0.6,0.6,0.4,0.1,0.1,0.5,0,2.3
227,De'Andre Hunter,7422000,E,SF,23,ATL,20,18,31.3,5.6,11.2,0.502,1.6,4.4,0.356,4.1,6.8,0.596,0.572,3.3,3.8,0.867,0.8,4.3,5.1,2.1,0.9,0.5,1.4,2.7,16
228,Chandler Hutchison,2443440,E,SF,24,CHI,7,0,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.6,2.1,0.267,0.306,0.3,0.3,1,0.1,2.7,2.9,0.6,0.1,0,0.7,1.3,1.9
228,Chandler Hutchison,2443440,E,SF,24,WAS,6,0,18.7,2.2,6,0.361,0.3,1.7,0.2,1.8,4.3,0.423,0.389,1.2,1.5,0.778,0.5,3.3,3.8,0.8,0.5,0,1.5,1.3,5.8
229,Serge Ibaka,9258000,W,C,31,LAC,39,39,23.6,4.5,8.9,0.507,1,2.8,0.352,3.5,6.1,0.577,0.562,0.9,1.2,0.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
230,Andre Iguodala,15000000,E,SF,37,MIA,47,2,21.3,1.5,4,0.372,1,3,0.324,0.5,1,0.522,0.495,0.4,0.7,0.636,0.6,3.2,3.8,2.1,1,0.5,1,1.4,4.4
231,Ersan ?lyasova,1194542,W,PF,33,UTA,6,0,5.5,0.7,2,0.333,0.5,1.7,0.3,0.2,0.3,0.5,0.458,0.5,0.5,1,0.5,0.7,1.2,0.3,0.2,0,0.2,1,2.3
232,Joe Ingles,10863637,W,SF,33,UTA,49,13,26.7,4,7.6,0.527,2.7,5.5,0.493,1.3,2.2,0.613,0.703,1.1,1.3,0.871,0.4,3.2,3.6,4.1,0.7,0.2,1.5,1.8,11.8
233,Brandon Ingram,27285000,W,SF,23,NOP,47,47,34.4,8.4,18,0.469,2.4,6.3,0.381,6,11.7,0.515,0.535,4.5,5.1,0.875,0.6,4.4,5,4.7,0.7,0.7,2.4,2,23.7
234,Kyrie Irving,33329100,E,PG,28,BRK,38,38,35.2,10.6,20.7,0.514,2.8,7,0.398,7.8,13.7,0.573,0.581,3.6,3.9,0.907,1.1,3.7,4.8,6,1.2,0.6,2.2,2.8,27.6
235,Wesley Iwundu,1678854,W,SF,26,DAL,23,3,12.5,0.7,2.3,0.327,0.1,1,0.13,0.6,1.3,0.483,0.356,0.5,0.6,0.857,0.3,1.7,1.9,0.4,0.4,0.1,0.3,1.1,2.1
235,Wesley Iwundu,1678854,W,SF,26,NOP,6,0,17.8,1.3,3.8,0.348,0.2,1.7,0.1,1.2,2.2,0.538,0.37,1.2,1.3,0.875,0.5,2.3,2.8,0.7,0.7,0,1.3,1.5,4
237,Josh Jackson,4767000,E,SG,23,DET,48,13,24.5,4.7,11.1,0.422,1.3,4,0.311,3.4,7,0.485,0.478,2.2,3.1,0.713,0.9,3.1,4.1,2.1,0.9,0.7,2.1,2.8,12.8
238,Justin Jackson,5029650,W,SF,25,OKC,33,3,16.5,2.6,6.4,0.406,1,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2
239,Reggie Jackson,2331593,W,SG,30,LAC,51,29,21.7,3.7,8,0.462,1.6,3.8,0.431,2.1,4.2,0.491,0.565,0.9,1.2,0.783,0.3,2.4,2.7,3,0.6,0.1,1.1,2,10
240,Justin James,1517981,W,SF,24,SAC,25,0,6,0.7,1.7,0.429,0.2,0.7,0.294,0.5,1,0.52,0.488,0.2,0.5,0.417,0.1,0.3,0.4,0.6,0.1,0,0.2,0.4,1.8
241,LeBron James,39219565,W,PG,36,LAL,41,41,33.9,9.5,18.4,0.513,2.4,6.5,0.368,7.1,12,0.592,0.578,4.1,5.8,0.703,0.6,7.3,7.9,7.9,1,0.6,3.7,1.6,25.4
242,DaQuan Jeffries,1445697,W,G-F,23,HOU,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
